No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,time 2,time 1,delay 1,delay 2,jiter
61,16.860795,104.214.78.152,192.168.43.53,TCP,66,443  >  53438 [ACK] Seq=1 Ack=215 Win=4054 Len=0 TSval=2847500322 TSecr=116585445,,,,,,,,,,,,,,,21.179207,16.860795,4.318412,0.007075,4.311337
62,21.179207,104.214.78.152,192.168.43.53,TCP,54,"443  >  53438 [RST, ACK] Seq=1 Ack=215 Win=0 Len=0",,,,,,,,,,,,,,,21.186282,21.179207,0.007075,0.439932,0.432857
63,21.186282,192.168.43.53,104.214.78.152,TCP,74,53439  >  443 [SYN] Seq=0 Win=65160 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=116589815 TSecr=0,,,,,,,,,,,,,,,21.626214,21.186282,0.439932,0.000345,0.439587
64,21.626214,104.214.78.152,192.168.43.53,TCP,70,"443  >  53439 [SYN, ACK] Seq=0 Ack=1 Win=4380 Len=0 MSS=1360 SACK_PERM=1 TSval=513524768 TSecr=116589815",,,,,,,,,,,,,,,21.626559,21.626214,0.000345,0.033167,0.032822
65,21.626559,192.168.43.53,104.214.78.152,TCP,66,53439  >  443 [ACK] Seq=1 Ack=1 Win=65160 Len=0 TSval=116590256 TSecr=513524768,,,,,,,,,,,,,,,21.659726,21.626559,0.033167,0.874667,0.8415
66,21.659726,192.168.43.53,104.214.78.152,TLSv1,214,Client Hello,,,,,,,,,,,,,,,22.534393,21.659726,0.874667,1.364089,0.489422
69,22.534393,192.168.43.53,104.214.78.152,TCP,214,"[TCP Retransmission] 53439  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65160 Len=148 TSval=116591164 TSecr=513524768",,,,,,,,,,,,,,,23.898482,22.534393,1.364089,0.210432,1.153657
70,23.898482,192.168.43.53,104.214.78.152,TCP,214,"[TCP Retransmission] 53439  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65160 Len=148 TSval=116592528 TSecr=513524768",,,,,,,,,,,,,,,24.108914,23.898482,0.210432,0,0.210432
71,24.108914,104.214.78.152,192.168.43.53,TCP,66,443  >  53439 [ACK] Seq=1 Ack=149 Win=3988 Len=0 TSval=513524768 TSecr=116591164,,,,,,,,,,,,,,,24.108914,24.108914,0,0.226941,0.226941
72,24.108914,104.214.78.152,192.168.43.53,TCP,66,[TCP Dup ACK 71#1] 443  >  53439 [ACK] Seq=1 Ack=149 Win=3988 Len=0 TSval=513524888 TSecr=116592528,,,,,,,,,,,,,,,24.335855,24.108914,0.226941,0.075425,0.151516
73,24.335855,192.168.43.53,74.125.68.188,TCP,55,53247  >  5228 [ACK] Seq=1 Ack=1 Win=257 Len=1,,,,,,,,,,,,,,,24.41128,24.335855,0.075425,0.931593,0.856168
74,24.41128,74.125.68.188,192.168.43.53,TCP,66,5228  >  53247 [ACK] Seq=1 Ack=2 Win=274 Len=0 SLE=1 SRE=2,,,,,,,,,,,,,,,25.342873,24.41128,0.931593,0.040097,0.891496
